latitude,longitude,name
45.355199,11.811533,abano terme
45.895864,9.335175,abbadia lariana
40.128801,8.817733,abbasanta
45.710544,8.906898,abbiate guazzone
45.397360,8.920636,abbiategrasso
36.996592,14.42545,acate
42.175994,13.711345,acciano
40.939066,14.372243,acerra
37.600514,15.163697,acireale
41.794294,12.616449,acqua acetosa
40.035527,15.671846,acquafredda
45.172102,9.888456,acquanegra cremonese|acquanegra crem.
39.48648,15.955992,acquappesa
37.570258,13.674927,acquaviva
37.570572, 13.674595,acquaviva casteltermini
40.892806,16.839826,acquaviva delle fonti|acquaviva
38.058459,14.587597,acquedolci-s.fratello|acquedolci s.f.
44.67407,8.474482,acqui terme
39.441389,16.245177,acri bisignano luzzi|acri bisignano
45.06058,12.054228,adria
38.053759,16.144283,africo nuovo
44.786108,8.267723,agliano castelnuovo calcea|agliano c.c.
37.305203,15.077155,agnone di s.|agnone s.
45.472555, 8.579343,agognate
37.319148,13.588094,agrigento bassa
37.309051,13.584412,agrigento centrale|agrigento centr.
40.351521,15.002053,agropoli castellabate|agropoli
42.065101,13.585772,aielli
44.928093,7.483536,airasca
43.870494,7.552757,airole
45.754086,9.422066,airuno
45.758926,10.995903,ala
42.287185,14.019595,alanno
45.90229,11.944546,alano fener valdobbiadene|alano fener val.
44.007845,8.171252,alassio
44.697713,8.030629,alba
42.83438,13.91733,alba adriatica nereto contr.|alba adriatica|alba adriatica-nereto-controguerra
43.345686,12.986501,albacina
45.404488, 8.959022,albairate-vermezzo
40.574707,16.021247,albano di lucania|albano lucania
41.72632,12.658056,albano laziale
45.682744,9.768027,albano s.alessandro|albano s.aless.
40.996117,14.128596,albanova
45.670265,12.015104,albaredo
45.777371,9.073461,albate camerlata|albate-camerlata
45.777391,9.095752,albate-trecallo
44.04722,8.221663,albenga
42.634158,11.1352,alberese
42.502165,11.21134,albinia
44.33469,8.512092,albisola
45.724117,8.80621,albizzate solbiate arno|albizzate s.a.
45.297785,8.714601,albonese
45.172504,9.261624,albuzzano
37.93891,12.926125,alcamo
37.978894,12.915916,alcamo diramazione|alcamo diramaz.
37.82145,15.251158,alcantara
44.909091,8.606498,alessandria
41.738222,14.044662,alfedena-scontrone|alfedena-scontr
44.512364,12.039155,alfonsine
38.013952,15.435184,ali` terme|ali' terme
44.722636,8.440076,alice belcolle
42.78502,12.035236,allerona-castel viscardo|allerona
45.091077,7.523745,alpignano
40.837666,16.551739,altamura
44.336169,8.332753,altare
41.015265,14.782833,altavilla irpina
38.048392,13.554421,altavilla m.|altavilla
38.048341, 13.554408,altavilla milicia
45.511805,11.454702,altavilla tavernelle|altavilla tav.
43.817418,10.672754,altopascio
42.591917,12.259583,alviano
39.134353,16.068448,amantea
45.722163,9.550444,ambivere mapello
41.518025,15.732569,amendola
39.933731,16.60308,amendolara oriolo|amendolara or.
41.173509,14.470759,amorosi melizzano|amorosi mel.
41.71037,13.09597,anagni-fiuggi
43.607734,13.497665,ancona
43.619445,13.50911,ancona marittima|ancona mar.|ancona
43.609936,13.455777,ancona torrette|ancona
45.565249,11.567865,anconetta
43.960129,8.138565,andora
40.746404,14.575366,angri
42.068133,12.304978,anguillara
37.925426, 15.748300,anna'|anná di melito di porto salvo
45.774904,12.680334,annone veneto
43.492482,10.328827,antignano
42.415393,13.076193,antrodoco borgo velino|antrodoco b.v.
42.409844,13.07096,antrodoco centro
42.017261,13.835618,anversa-villalago-scanno|anversa v. s.
45.764965,9.202676,anzano del parco
41.4532,12.633205,anzio
41.459893,12.617442,anzio colonia
44.550826,11.197119,anzola|anzola dell'emilia
45.73407,7.322424,aosta
45.732938,7.303076,aosta istituto
45.733294,7.297371,aosta viale europa|aosta v.europa
41.140927,14.918733,apice s.arcangelo bonito|apice s.a.b.
41.909342,12.43838,appiano
41.77664,15.387809,apricena
41.592386,12.639126,aprilia
40.940252,15.541249,aquilonia
37.381097,13.636837,aragona caldare
43.294393,11.406225,arbia|barbiano
40.677263,15.623814,arbostella
45.577162,9.606652,arcene
41.583695,13.571848,arce
45.858579,8.86241,arcisate
44.118651,9.914649,arcola
45.623493,9.322798,arcore
40.632139,8.818996,ardara
46.16198,9.651374,ardenno masino
38.175698,16.207311,ardore
45.082065,9.360394,arena po
44.403089,8.678322,arenzano
43.461725,11.874189,arezzo
43.470908, 11.867669,arezzo casello 1|arezzo-casello 1
44.616867,11.841267,argenta|orbetello-monte argentario
41.181883,15.117508,ariano irpino
45.755392,8.559075,arona
45.577948,9.272646,arosio
41.648296,13.59959,arpino
45.006465,11.748518,arqua`|arqua'
44.692533,8.885342,arquata scrivia
42.045852,13.013064,arsoli
46.23115,13.162328,artegna
45.704259,7.166681,arvier
40.140955,15.172626,ascea
43.235245,11.579237,asciano
43.231706,11.563621,asciano monte oliveto maggiore|asciano m.o.m.
42.855474,13.587939,ascoli piceno|ascoli p.
41.219859,15.547828,ascoli satriano
45.220454,10.402313,asola
39.287603,8.997936,assemini
39.281820,9.013824,assemini carmine
39.291116,8.989235,assemini s.lucia
43.058921,12.585304,assisi
45.855238,9.268638,asso|canzo-asso
44.894683,8.207675,asti
40.456676,15.536094,atena
42.518054,12.294761,attigliano
42.518070,12.294738,attigliano-bomarzo
37.24334,15.218628,augusta
40.534934,15.426706,auletta
44.210555,9.970015,aulla lunigiana
44.209662,9.970632,aulla|aulla lunigiana
45.753943,13.687706,aurisina
40.921612,14.820586,avellino
40.973323,14.218578,aversa
42.039495,13.426446,avezzano
46.064362,12.590686,aviano
45.085276,7.401096,avigliana
40.714667,15.785619,avigliano lucania|avigliano luc.
45.733892,10.955842,avio|lido di classe-lido di savio
45.706296,7.131285,avise
36.907434,15.125733,avola
43.596909,11.871204,baciano
43.385641,11.273056,badesse
45.094439,11.484722,badia polesine
38.572268,16.567646,badolato
44.650884,10.919266,baggiovara
38.089905,13.507215,bagheria
44.412138,11.969398,bagnacavallo
38.282695,15.800327,bagnara
45.885513,13.282026,bagnaria arsa
44.303264,8.046132,bagnasco
44.003447,10.551631,bagni di lucca
41.949593,12.722208,bagni di tivoli
40.819444,14.166694,bagnoli agnano terme|bagnoli agnano t
40.83917,15.06324,bagnoli irpino
45.428532,10.183617,bagnolo mella
42.726238,12.663615,baiano di spoleto|baiano di s.|spoleto
44.899204,8.091198,baldichieri|baldichieri-tigliole
45.846953, 9.004586,balerna
38.053364,13.007374,balestrate
41.809427,13.556546,balsorano
40.649993,15.495304,balvano r.
40.649740, 15.495102,balvano ricigliano
45.173985,8.402174,balzola
44.722075,7.819452,bandito
40.695213,15.569206,baragiano
40.694916, 15.569802,baragiano-ruoti
41.5176,14.596314,baranello
45.835408,8.750422,barasso|barasso-comerio
43.499200, 11.111259,barberino di val d'elsa|barberino val d'elsa
43.499326,11.111272,barberino val d`elsa
45.07263,9.204165,barbianello
44.387263,11.878086,barbiano
39.203024,8.501702,barbusi
38.14918,15.212499,barcellona|barcellona-castroreale
45.837941,9.404936,barco
45.076447,6.709959,bardonecchia
44.068114,10.451938,barga gallicano|barga-gallicano
41.11774,16.869601,bari centrale|bari c.le
41.043901,16.847165,bari loseto
41.151583,16.766902,bari palese macchie|bari palese m.
41.123916,16.837018,bari parco nord
41.111822,16.914736,bari parco sud
41.159653,16.746324,bari s. spirito|bari s.spirito
41.105467,16.830255,bari s.andrea
41.093779,16.950084,bari s.giorgio
41.073107,16.851547,bari santa rita|bari s.rita
41.082637,16.995772,bari torre a mare|ba torre a mare
41.111709,16.915207,bari torre quetta
41.104128,16.822674,bari villaggio del lavoratore
41.128281,16.825944,bari zona industriale
45.060889,11.995348,baricetta
40.943044,15.670959,barile
41.315227,16.278867,barletta
40.743779,14.77224,baronissi
42.68685,12.203496,baschi-montecchio|baschi montecc.
46.012737,13.109233,basiliano
45.766697,11.741525,bassano del grappa|bassano del gr.
42.212444,12.152302,bassano romano|romano
42.702211, 9.447875,bastia
45.291475,11.77838,battaglia terme
40.605789,14.98324,battipaglia
40.020722,8.687123,bauladu milis
45.909105,8.502121,baveno
44.777094,8.401557,bazzana
44.507132,11.082439,bazzano
42.334854,13.464441,bazzano (aq)
45.046495,6.759713,beaulard
42.197341,13.660759,beffi
44.36782,7.644884,beinette
45.16456,9.316875,belgioioso
45.843337,8.570821,belgirate
40.700914,15.542936,bella muro
46.039448,9.302776,bellano tartavelle terme|bellano t.terme
42.705775,13.837978,bellante ripattone|bellante ripat.
44.150249,12.461168,bellaria
40.517077,17.176892,bellavista
45.566681,8.627652,bellinzago
44.979286,9.206788,bellinzona
43.520379,12.823977,bellisio solfare
46.141594,12.209703,belluno
39.164427,16.064515,belmonte calabro|belmonte
39.616549,15.853039,belvedere marittimo|belvedere m.
41.141901,14.769998,benevento
41.136834,14.777662,benevento arco traiano|bn arco traiano
41.123564,14.784315,benevento porta rufina|bn porta rufina
44.555912,9.931759,berceto
40.772052,9.181312,berchidda
44.819891,8.461447,bergamasco
45.690271,9.675082,bergamo
40.397616,16.682281,bernalda
45.702824,9.28288,besana
45.695409,8.761072,besnate
45.842188,8.662997,besozzo
46.068341,8.289627,beura cardezza
43.825303,7.579157,bevera
45.230145,11.398643,bevilacqua
44.086359,10.948257,biagioni lagacci
38.089072,16.153348,bianco
45.309488,8.115523,bianze`|bianze'
46.179383,10.112507,bianzone
46.352606,8.973929,biasca
45.632209,9.298408,biassono-lesmo parco|biassono-lesmo p
44.658758,10.468324,bibbiano
43.693292, 11.809701,bibbiena
43.685827, 11.825739,bibbiena corsalone
44.809941,7.285727,bibiana
37.460617,15.044594,bicocca
45.568084,8.066787,biella chiavazza
45.557334,8.067541,biella s.paolo
44.068431,11.602243,biforco
43.790336,11.267403,binario s.marco vecchio|binario.s.m.v.
41.235445,16.499484,bisceglie
44.659256,8.372057,bistagno
45.870658,8.887544,bisuschio viggiu
41.041481,16.74053,bitetto palo del colle|bitetto
41.043896,16.833041,bitritto
46.007733,13.247325,bivio cargnacco
45.201871,7.932861,bivio castelrosso|biv. castelrosso
45.754253,13.655777,bivio d`aurisina|bivio d'aurisina
44.414078,7.546234,bivio madonna dell`olmo|biv. m. olmo
43.661224,10.369478,bivio mortellini|orte
39.346697,16.046631,bivio pantani|biv. pantani
40.742888,14.682744,bivio s.lucia (na)|biv. s.lucia 123
45.81393,13.526626,bivio san polo
45.338661,8.441797,bivio sesia|biv. sesia
39.381416,16.222002,bivio settimo|biv. settimo
41.527485,13.547101,bivio/p.c. sgurgola|biv/pc sgurgola|sgurgola
44.074771,10.015803,bivio/pc arcola|biv/pc arcola
45.882784,10.179412,boario terme|darfo - corna|darfo-corna
40.732794,14.471878,boccia al mauro
44.379207,9.066042,bogliasco
41.487883,14.474551,boiano
43.244664,10.550548,bolgheri
45.542731,9.123088,bollate centro
45.552595,9.112463,bollate nord
44.515024,11.284728,bologna borgo panigale|borgo panigale
44.50626,11.342267,bologna c.le|bologna centrale|bologna c.le/av
44.551985,11.35401,bologna corticella|bo.corticella
44.512742,11.368809,bologna fiere
44.490404,11.274884,bologna interporto|bo interporto
44.482284,11.376271,bologna mazzini|bo. mazzini
44.510244,11.320029,bologna ravone|bo ravone
44.462657,11.372967,bologna s.ruffillo|bo s.ruffillo
44.496366, 11.372820,bologna s.vitale
44.496366,11.37282,bologna san vitale
46.496346,11.358556,bolzano
45.759357,8.440754,bolzano novarese|bolzano
46.472617,11.33334,bolzano sud|bolzano
44.184867,9.582673,bonassola
44.901721,11.411124,bondeno
41.710522,14.860799,bonefro s.croce
45.185651,11.009247,bonferraro
40.417763,8.760707,bonorva
43.778313,7.663504,bordighera
45.153333,7.648737,borgaro
45.696721,10.927083,borghetto
44.837198,10.1177,borghetto parmense|borghetto parm.
44.109029, 8.242300,borghetto s.spirito|borghetto santo spirito
44.109006,8.242346,borghetto santo spirito|borghetto s.s.
44.157722,8.30908,borgio verezzi
43.880724,10.730079,borgo a buggiano
43.977207,10.541285,borgo a mozzano
44.588379,8.938295,borgo fornari per voltaggio|borgo fornari
45.318783,8.703242,borgo lavezzaro
45.189827,8.02021,borgo revel
45.207859,12.275717,borgo s. giovanni
43.959822,11.380422,borgo s. lorenzo|borgo s.l.
43.953279,11.400076,borgo s.l.rimorelli|borgo s.l.rimor.
43.959791, 11.379307,borgo s.lorenzo
43.953404, 11.399740,borgo s.lorenzo rimorelli
45.087083,8.520661,borgo s.martino
44.326249,7.486111,borgo san dalmazzo|borgo s.dalmazzo
45.691943,8.602483,borgo ticino
44.486522,9.781489,borgo val di taro|borgo val taro
46.051182,11.453967,borgo valsugana centro|borgo valsugana
46.05224,11.462119,borgo valsugana est|borgo valsug. e.
45.359252,8.461474,borgo vercelli|vercelli
45.141273, 10.766058,borgochiesanuova
45.050328,10.752388,borgoforte|orte
45.514775,7.854612,borgofranco
45.403856,9.27111,borgolombardo
45.701054,8.468093,borgomanero
45.622245,10.020042,borgonato - adro|borgonato-adro
45.123191,7.236037,borgone
43.891455,11.075482,borgonuovo
44.835999,8.538182,borgoratto
45.716798,8.28239,borgosesia
45.590595,10.032942,bornato - calino|bornato-calino
45.589677,10.033156,bornato-calino
40.218992,8.809535,borore
45.217328,11.362302,boschi s.anna
41.459299,14.587884,bosco redole
45.266847, 7.762123,bosconero
40.770786,14.48017,boscoreale
38.933943,16.857433,botricello
37.930269,15.923897,bova marina
38.149087,16.180584,bovalino
41.27835,15.369255,bovino deliceto
45.611908,9.141447,bovisio m. - mombello|bovisio masciago
45.254446,11.123862,bovolone
45.107246,10.472655,bozzolo
42.103667,12.173023,bracciano
44.371679,8.304473,bragno
37.965475,16.103301,brancaleone
45.178915,7.841218,brandizzo
44.693556,7.848643,bra|brancaleone|milano lambrate
43.890267,7.530915,breil sur roya
45.754044,9.183312,brenna-alzate
47.004117,11.505711,brennero
45.955509,10.309131,breno
45.532315,10.212828,brescia|brescia borgo san giovanni|brescia violino
45.072739,9.137038,bressana argine
45.086298,9.110602,bressana bottarone|bressana bott.
46.710088,11.649677,bressanone
38.725447,16.025765,briatico
44.824336,7.307513,bricherasio
40.634339,17.938978,brindisi
40.589219, 17.848105,brindisi cittadella della ricerca
40.611991,15.955795,brindisi di montagna|brindisi di mont|brindisi
40.633543,17.94863,brindisi marittima|brindisi maritt.|brindisi
40.628439, 17.914810,brindisi perrino
45.538568,8.479541,briona
44.220565,11.769757,brisighella
38.159204,14.830176,brolo ficarra
45.066263,9.258751,broni
46.40505,11.315833,bronzolo
45.121299,8.05893,brozolo
37.946836,12.793178,bruca
37.272883,15.186876,brucoli
46.794922,11.929989,brunico
44.797947,8.439639,bruno
45.131032,7.201497,bruzolo
45.131140, 7.201382,bruzolo di susa|bruzolo
40.600759, 15.374165,buccino s.gregorio magno|buccino san gregorio magno
40.600806,15.374199,buccino s.|buccino
43.480478,11.617609,bucine
46.031464,12.537637,budoia polcenigo
44.533457,11.528652,budrio
42.031166,13.862082,bugnara
43.135503,11.483773,buonconvento
37.972052,13.816408,buonfornello
45.47179,8.2667,buronzo
45.429933, 11.951722,busa di vigonza
44.57558,8.943611,busalla
44.520585,7.481589,busca
46.040092,11.979251,busche lentiai mel|busche lentiai m
44.974692,10.038909,busseto
42.194154,13.849075,bussi
45.139631,7.144819,bussoleno
45.616164,8.865031,busto arsizio|busto arsizio nord
37.145078,14.171691,butera
45.62141,9.301185,buttafava
45.338787,10.988059,buttapietra
46.012664,13.329039,buttrio
44.502762,11.435641,ca' dell'orbo
44.117925,9.857449,ca` di boschetti|ca'di boschetti
45.676448, 9.168991,cabiate
46.152455,8.941852,cadenazzo
44.967283,9.853181,cadeo
39.216078,9.107984,cagliari
39.264193,9.045497,cagliari elmas
39.226625, 9.097413,cagliari s.gilla|cagliari santa gilla
44.394747,8.278786,cairo montenotte
41.011012,9.5881,cala sabina
46.443829,12.388668,calalzo pieve cadore cortina|calalzo pc cort.
44.738986,8.331572,calamandrana
37.814684,15.226568,calatabiano
37.938858,12.856156,calatafimi
43.611538, 11.864031,calbenzano
46.007384,11.240713,calceranica
40.595117,16.202526,calciano
45.532937,9.841342,calcio
45.945812,8.663157,calde`|calde'
44.544080, 11.267494,calderara-bargellino
45.41407,11.169753,caldiero
45.997575,11.264815,caldonazzo
43.856429,11.14537,calenzano
40.884932,15.427962,calitri pescopagano|calitri pescop.
45.937314, 11.095028,calliano
45.801619,9.42698,calolziocorte olginate|calolziocorte o.|orte
39.579022,16.819361,calopezzati
37.225276,14.521165,caltagirone
37.48829,14.057396,caltanissetta centrale|caltanissetta c.
37.536296,14.056902,caltanissetta xirbi|caltanissetta x.
45.519167,8.591602,caltignaga
45.684113,9.470646,calusco
45.303194,7.902568,caluso
45.346572,10.349411,calvisano
43.912176,10.24765,camaiore lido capezzano|camaiore lido c.
44.966491,7.773225,cambiano santena
43.631183,10.958997,cambiano|cambiano santena
43.52799,13.519874,camerano aspio
37.653759,13.673791,cammarata s.giovanni gemini|cammarata s.g.g.
45.668425,9.133451,camnago-lentate
44.348023, 9.156674,camogli s.fruttuoso|camogli san fruttuoso|camogli-san fruttuoso
44.348166,9.156743,camogli san fruttuoso|camogli s.f.
40.595667,15.113986,campagna serre persano|campagna s.p.
42.822814,12.761253,campello
42.822823, 12.761269,campello sul clitunno
43.017118,10.586558,campiglia marittima|campiglia m.ma
41.552116,12.635125,campo di carne
42.007967,14.041492,campo di giove
41.993262,14.069088,campo di giove-monte maiella|campo g.-monte m
40.879143,15.129255,campo di nusco
46.869076,11.488231,campo di trens
41.558137,14.66393,campobasso
37.636256,12.733165,campobello di mazara|campobello di m.
37.265731,13.946251,campobello ravanusa|campobello rav.
45.505721,11.900894,campodarsego
37.992615,13.876549,campofelice
37.510105,13.686777,campofranco
41.285869,14.726853,campolattaro
41.642396,12.648341,campoleone
41.642573,14.76544,campolieto monacilioni|campolieto m.
